flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club,prior_available,prior_source_season,prior_missing_reason,prior_prev_name,prior_prev_klub_slug,prior_gk_bramki-stracone,prior_gk_czyste-konta,prior_gk_gk-dlugie-podania-celne,prior_gk_gk-mecze-rozegrane,prior_gk_gk-minuty-rozegrane,prior_gk_gk-piastkowania,prior_gk_gk-podania,prior_gk_gk-podania-celne,prior_gk_gk-rzuty-karne-przeciwko,prior_gk_obronione-rzuty-karne,prior_gk_obronione-strzaly,prior_pole_asysty,prior_pole_celne-strzaly,prior_pole_celnosc-strzalow,prior_pole_dogodne-szanse,prior_pole_dosrodkowania,prior_pole_dosrodkowania-celne,prior_pole_dryblingi,prior_pole_faule,prior_pole_faule-wywalczone,prior_pole_gole,prior_pole_gole-z-gry,prior_pole_gole-z-pola-karnego,prior_pole_gole-z-rzutow-karnych,prior_pole_kanadyjska,prior_pole_karne-wykonane,prior_pole_kluczowe-podania,prior_pole_konwersja-strzalow,prior_pole_minuty,prior_pole_odbiory,prior_pole_podania,prior_pole_podania-celne,prior_pole_podania-celne-w-polowie-przeciwnika,prior_pole_podania-w-polowie-przeciwnika,prior_pole_pojedynki-obronne-wygrane,prior_pole_pojedynki-wygrane,prior_pole_przechwyty,prior_pole_rzuty-rozne,prior_pole_spalone,prior_pole_strzaly,prior_pole_stworzone-dogodne-szanse,prior_pole_wybicia,prior_pole_xa,prior_pole_xg,prior_pole_xgot,prior_pole_zablokowane-strzaly
Cracovia,cracovia,Minchev M.,unresolved,,auto_same_club_history,martin-yankov-minchev,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,martin-yankov-minchev,review_auto_same_club_history,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Martin Yankov MinchevCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Olafsson D.,unresolved,,auto_same_club_history,davi-kristjan-olafsson,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,davi-kristjan-olafsson,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Davíð Kristján ÓlafssonCracovia,1.0,1,2023/24,,Davíð Kristján ÓlafssonCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,0.0,20.0,7.0,4.0,7.0,7.0,1.0,1.0,1.0,0.0,4.0,0.0,12.0,25.0,809.0,2.0,210.0,0.0,91.0,153.0,2.0,22.0,5.0,11.0,0.0,4.0,0.0,20.0,2.1,0.7,0.8,0.0
Cracovia,cracovia,Perkovic M.,unresolved,,auto_same_club_history,mauro-perkovic,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,mauro-perkovic,review_auto_same_club_history,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Mauro PerkovićCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Polak D.,unresolved,,auto_same_club_history,dawid-polak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,dawid-polak,review_auto_same_club_history,cracovia,2024/25,cracovia,2024/25:cracovia,Dawid PolakCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Pomietlo M.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,,0,,unmapped_flash_player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Rakoczy M.,unresolved,,auto_same_club_history,micha-miosz-rakoczy,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,micha-miosz-rakoczy,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Michał Miłosz RakoczyCracovia,1.0,1,2023/24,,Michał Miłosz RakoczyCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,44.0,0.0,28.0,7.0,95.0,36.0,39.0,6.0,6.0,4.0,0.0,9.0,1.0,42.0,15.0,2390.0,21.0,636.0,0.0,331.0,563.0,21.0,118.0,9.0,61.0,4.0,39.0,0.0,7.0,3.9,6.9,4.4,29.0
Cracovia,cracovia,Ravas H.,unresolved,,auto_same_club_history,henrich-ravas,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,henrich-ravas,review_auto_same_club_history,cracovia | widzew-lodz,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:widzew-lodz | 2024/25:cracovia | 2025/26:cracovia,Henrich RavasWidzew Łódź,1.0,1,2023/24,,Henrich RavasWidzew Łódź,widzew-lodz,26.0,3.0,80.0,18.0,1620.0,9.0,548.0,0.0,5.0,1.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1620.0,0.0,548.0,0.0,44.0,147.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.1,0.0,1.0
Cracovia,cracovia,Rózga F.,unresolved,,auto_same_club_history,filip-rozga,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,filip-rozga,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Filip Jan RózgaCracovia,1.0,1,2023/24,,Filip Jan RózgaCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,0.0,6.0,1.0,17.0,8.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,262.0,6.0,57.0,0.0,27.0,48.0,6.0,36.0,4.0,0.0,0.0,3.0,0.0,6.0,0.4,0.2,0.1,1.0
Cracovia,cracovia,Skovgaard A.,unresolved,,auto_same_club_history,andreas-skovgaard-larsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,andreas-skovgaard-larsen,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Andreas Skovgaard LarsenCracovia,1.0,1,2023/24,,Andreas Skovgaard LarsenCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,8.0,4.0,19.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,1901.0,24.0,793.0,0.0,257.0,391.0,24.0,76.0,21.0,0.0,1.0,0.0,0.0,56.0,0.8,0.0,0.0,1.0
Cracovia,cracovia,Smiglewski K.,unresolved,,auto_same_club_history,kacper-smiglewski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,kacper-smiglewski,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Kacper ŚmiglewskiCracovia,1.0,1,2023/24,,Kacper ŚmiglewskiCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,294.0,2.0,45.0,0.0,22.0,36.0,2.0,23.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.1,0.0,2.0
