player_slug,nazwa,klub_slug,gk_bramki-stracone,gk_czyste-konta,gk_gk-dlugie-podania-celne,gk_gk-mecze-rozegrane,gk_gk-minuty-rozegrane,gk_gk-piastkowania,gk_gk-podania-celne,gk_gk-podania,gk_gk-rzuty-karne-przeciwko,gk_obronione-rzuty-karne,gk_obronione-strzaly,pole_asysty,pole_celne-strzaly,pole_celnosc-strzalow,pole_dogodne-szanse,pole_dosrodkowania-celne,pole_dosrodkowania,pole_dryblingi,pole_faule-wywalczone,pole_faule,pole_gole-z-gry,pole_gole-z-pola-karnego,pole_gole-z-rzutow-karnych,pole_gole,pole_kanadyjska,pole_karne-wykonane,pole_kluczowe-podania,pole_konwersja-strzalow,pole_minuty,pole_odbiory,pole_podania-celne-w-polowie-przeciwnika,pole_podania-celne,pole_podania-w-polowie-przeciwnika,pole_podania,pole_pojedynki-obronne-wygrane,pole_pojedynki-wygrane,pole_przechwyty,pole_rzuty-rozne,pole_spalone,pole_strzaly,pole_stworzone-dogodne-szanse,pole_wybicia,pole_xa,pole_xg,pole_xgot,pole_zablokowane-strzaly
kamil-lukoszek,Kamil LukoszekGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,10,59,0,7,34,24,37,28,3,2,0,3,3,0,14,18,1337,20,190,0,294,426,20,89,12,12,2,17,0,17,1.6,1.9,2.3,6
konstantinos-triantafyllopoulos,Konstantinos TriantafyllopoulosGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,7,0,0,0,0,0,0,1,0,688,6,85,0,138,415,6,35,15,0,0,5,0,33,0.1,0.2,0,1
kryspin-szczesniak,Kryspin SzcześniakGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,2,1,13,43,0,1,0,1,1,0,6,13,2185,25,288,0,384,1324,25,88,29,0,0,8,0,112,0.2,1.1,0.7,1
lawrence-ennali,Lawrence EnnaliGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,1,20,59,0,3,32,92,52,22,4,5,1,5,6,1,14,15,1668,13,236,0,323,494,13,123,14,9,2,34,0,5,1.8,6,6,11
mateusz-chmarek,Mateusz ChmarekGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,0,0,0,0,0,0,0,0,137,0,9,0,13,16,0,8,0,0,0,0,0,3,0,0,0,1
michal-siplak,Michal SipľakGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,2,67,0,2,26,2,3,19,1,0,0,1,1,0,7,33,757,11,154,0,243,358,11,30,7,7,0,3,0,20,0.4,0.1,0.8,0
norbert-barczak,Norbert BarczakGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,8,0,0,0,0,0,0,3,0,236,2,59,0,78,126,2,8,3,0,0,1,0,8,0.1,0.1,0,2
norbert-wojtuszek,Norbert WojtuszekGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,47,0,7,0,9,24,0,6,0,0,0,0,0,3,0.1,0,0,0
pawe-mirosaw-olkowski,Paweł Mirosław OlkowskiGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0,2,18,28,14,10,1,1,0,1,1,0,10,7,621,7,87,0,153,181,7,58,4,8,2,15,0,17,1.2,1.1,0.8,5
piotr-krawczyk,Piotr KrawczykGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,1,3,60,0,0,3,8,3,7,1,1,0,1,2,0,6,20,682,6,46,0,74,122,6,28,3,0,3,5,0,4,0.4,1.5,0.8,4
