match_id,sezon,waga_sezonu,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,flash_id,flash_url
2158,2024/25,0.7,17,2024-11-29,Cracovia,Zagłębie Lubin,1,1,61.0,39.0,21,14,6,3,4,4,11,7,4,5,12,13,1,1,1,4,0,1,0,0,28,20,7,4,9,6,518,324,432,231,1.54,0.98,QRcnTnFr,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=QRcnTnFr
2159,2024/25,0.7,17,2024-11-30,GKS Katowice,Lechia Gdańsk,2,0,48.3,51.7,15,15,4,3,6,5,5,7,5,4,8,10,1,0,1,1,0,0,0,0,23,24,6,3,5,11,374,403,288,312,1.83,0.99,Yi1fRQqe,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=Yi1fRQqe
2160,2024/25,0.7,17,2024-12-01,Korona Kielce,Górnik Zabrze,2,4,42.6,57.4,13,19,3,12,4,3,6,4,4,5,10,10,1,2,4,2,0,0,0,0,18,12,4,5,8,12,382,530,307,453,0.47,1.96,UJf3P4E7,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=UJf3P4E7
2161,2024/25,0.7,17,2024-12-02,Motor Lublin,Radomiak Radom,1,0,52.0,48.0,18,19,6,8,4,5,8,6,4,7,15,6,0,0,2,4,0,0,0,0,18,24,5,10,8,14,455,410,380,322,2.31,0.77,MDskm86E,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=MDskm86E
2162,2024/25,0.7,17,2024-11-29,Piast Gliwice,Lech Poznań,0,0,32.9,67.1,8,5,3,1,2,2,3,2,5,5,17,9,2,2,5,3,0,0,0,0,15,13,4,3,5,6,279,590,199,502,0.32,0.09,QayFUajm,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=QayFUajm
2163,2024/25,0.7,17,2024-12-01,Pogoń Szczecin,Jagiellonia Białystok,1,1,42.0,58.0,17,15,6,7,5,1,6,7,4,8,14,8,1,5,1,2,0,0,0,0,15,26,5,4,9,3,332,459,239,385,2.19,0.92,YPvNSwLa,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=YPvNSwLa
2164,2024/25,0.7,17,2024-12-01,Stal Mielec,Legia Warszawa,2,2,56.2,43.8,21,8,7,2,10,3,4,3,4,4,10,10,0,1,0,2,0,0,0,0,18,16,6,2,7,9,480,373,403,292,3.01,2.67,fuTVQHkC,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=fuTVQHkC
2165,2024/25,0.7,17,2024-11-30,Widzew Łódź,Raków Częstochowa,2,3,44.7,55.3,11,15,4,4,1,4,6,7,0,3,3,14,2,1,1,1,0,0,0,0,6,35,3,5,8,9,461,543,382,479,1.24,0.88,25WwPeKO,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=25WwPeKO
2166,2024/25,0.7,17,2024-11-30,Śląsk Wrocław,Puszcza Niepołomice,0,1,66.3,33.7,27,8,6,3,11,3,10,2,5,3,12,15,0,4,4,4,0,0,0,0,20,14,8,3,5,9,457,228,387,154,1.48,0.41,v31lqa5t,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=v31lqa5t
2167,2024/25,0.7,18,2024-12-06,Górnik Zabrze,Lech Poznań,2,1,42.9,57.1,14,21,5,4,6,8,3,9,3,9,17,14,2,0,3,4,1,0,1,0,6,31,1,9,14,5,380,483,315,416,0.89,2.13,8rg5uH45,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=8rg5uH45
