xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,podania_gosp,podania_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,dlugie_podania_gosp,dlugie_podania_gosc,dosrodkowania_gosp,dosrodkowania_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,odbiory_gosp,odbiory_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,data_meczu_flash,kolejka_flash,url,flash_id
2.84,0.52,52,48,24,8,5,4,3,1,5,6,342,300,1,2,0,0,1.20,0.37,13,0,6,4,21,2,4,6,57,10,0,0,10,12,23,38,6,2,2.24,0.37,12,10,10,15,56,50,11,29,15,12,0,0,0,0,3,4,0.37,1.20,-0.63,0.20,2025-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=ji08gY4K,ji08gY4K
0.69,1.31,55,45,8,11,2,4,1,2,4,5,351,277,1,0,0,0,0.23,1.71,4,5,2,2,5,3,3,8,13,22,1,0,13,7,28,22,3,0,0.78,0.35,7,13,12,6,57,43,22,18,3,12,0,0,0,0,2,2,1.71,0.23,-0.29,0.23,2025-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lechia-gdansk-GGLmkiK8/szczegoly/statystyki/?mid=zqILVUCD,zqILVUCD
0.38,0.68,50,50,12,7,3,2,0,1,9,6,288,272,2,0,0,0,0.93,0.42,6,3,3,2,8,4,4,3,28,8,4,1,12,11,25,26,5,3,0.57,0.54,11,12,11,1,45,46,24,27,8,3,0,0,0,0,2,3,0.42,0.93,0.42,0.93,2025-05-04,31,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=Ek5mpUR6,Ek5mpUR6
2.91,0.87,66,34,15,14,8,9,5,1,3,7,532,227,0,0,0,0,5.19,2.68,5,3,2,2,11,8,4,6,22,14,1,2,8,5,13,25,2,8,1.29,0.79,5,8,6,8,34,28,23,15,6,12,0,0,0,0,8,0,2.68,5.19,1.68,-2.81,2025-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/puszcza-dtqx13O8/szczegoly/statystyki/?mid=6P1unjcf,6P1unjcf
1.54,1.53,46,54,13,18,6,9,2,2,2,11,294,329,4,2,0,0,1.83,2.10,1,3,6,6,9,11,4,7,18,27,2,1,7,7,15,27,2,5,0.96,0.92,7,7,5,12,40,53,32,28,13,8,0,0,1,0,8,3,2.10,1.83,1.10,-1.17,2025-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=Sd1Oos3B,Sd1Oos3B
0.72,0.97,42,58,5,15,1,7,1,3,1,12,233,383,0,0,0,0,0.26,1.16,3,3,1,5,5,9,0,6,10,23,1,3,10,5,15,23,4,10,0.63,0.68,5,10,13,6,41,30,17,18,5,7,0,0,0,0,5,1,1.16,0.26,-0.84,0.26,2025-05-03,31,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=0pA7kP3n,0pA7kP3n
0.70,2.77,42,58,13,22,3,8,0,4,3,5,245,382,4,1,0,0,0.54,3.38,4,11,6,3,10,18,3,4,23,41,1,3,12,11,22,27,2,10,0.44,1.83,11,12,8,4,43,45,28,25,7,7,0,0,0,1,6,1,3.38,0.54,1.38,-0.46,2025-04-28,30,https://www.flashscore.pl/mecz/pilka-nozna/stal-mielec-pxXiDZkQ/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=KYnOMZTr,KYnOMZTr
1.55,0.54,47,53,16,4,3,2,1,2,12,1,252,332,0,0,0,0,1.43,0.78,5,0,8,2,10,4,6,0,34,14,0,1,10,9,24,23,9,3,0.76,0.44,9,10,9,4,45,40,28,41,4,9,0,0,1,2,0,1,0.78,1.43,-1.22,-0.57,2025-04-27,30,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=63Q4ZCDl,63Q4ZCDl
0.81,0.69,50,50,9,9,1,3,3,1,5,5,391,399,2,2,0,0,0.09,1.20,6,4,2,2,6,7,3,2,19,13,3,2,9,8,39,29,5,2,0.59,0.42,8,9,13,6,39,36,19,26,10,9,0,1,0,0,3,1,1.20,0.09,1.20,0.09,2025-04-27,30,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=z1BiSe6L,z1BiSe6L
1.19,1.84,37,63,10,15,6,4,2,5,2,5,207,406,3,3,0,0,2.33,1.06,2,8,2,3,6,11,4,4,21,22,0,1,15,15,25,21,1,4,0.84,0.97,15,15,8,13,43,45,22,21,10,8,0,0,0,0,3,3,1.06,2.33,0.06,-0.67,2025-04-27,30,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=6koWKDbe,6koWKDbe
