flash_team,flash_name,expected_klub_slug,current_status,existing_player_slug,proposed_status,proposed_player_slug,evidence,candidate_count,top1_score,top1_relation,top1_clubs,top1_seasons,top1_path,top2_player_slug,top2_score,gap_top1_top2
GKS Katowice,Drachal D.,gks-katowice,unresolved,,auto_transfer_candidate,dawid-drachal,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season,1,109.0,other_club_target_season,jagiellonia-bialystok | rakow-czestochowa,2023/24 | 2024/25 | 2025/26,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:jagiellonia-bialystok,,,999.0
GKS Katowice,Galan B.,gks-katowice,unresolved,,auto_same_club_history,borja-galan-gonzalez,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,105.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Gruszkowski K.,gks-katowice,unresolved,,auto_same_club_history,konrad-jan-gruszkowski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Jaroszek B.,gks-katowice,unresolved,,auto_same_club_history,bartosz-jaroszek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25,2024/25:gks-katowice,,,999.0
GKS Katowice,Jędrych A.,gks-katowice,unresolved,,auto_same_club_history,arkadiusz-jedrych,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Klemenz L.,gks-katowice,unresolved,,auto_same_club_history,lukas-rafael-klemenz,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Komor A.,gks-katowice,unresolved,,auto_same_club_history,aleksander-komor,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25,2024/25:gks-katowice,,,999.0
GKS Katowice,Kowalczyk M.,gks-katowice,unresolved,,auto_same_club_history,mateusz-kowalczyk,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,2,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,sebastian-oskar-kowalczyk,90,35.0
GKS Katowice,Kudła D.,gks-katowice,unresolved,,auto_same_club_history,dawid-kuda,all_flash_tokens_in_slug_slugstyle | suffix_exact_slugstyle | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Kuusk M.,gks-katowice,unresolved,,auto_same_club_history,marten-kuusk,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Mak M.,gks-katowice,unresolved,,auto_same_club_history,mateusz-mak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25,2024/25:gks-katowice,,,999.0
GKS Katowice,Marzec M.,gks-katowice,unresolved,,auto_same_club_history,mateusz-marzec,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25,2024/25:gks-katowice,,,999.0
GKS Katowice,Milewski S.,gks-katowice,unresolved,,auto_same_club_history,sebastian-milewski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Nowak B.,gks-katowice,unresolved,,auto_same_club_history,bartosz-nowak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | present_in_target_season,2,121.0,same_club_history,gks-katowice | rakow-czestochowa,2023/24 | 2024/25 | 2025/26,2023/24:rakow-czestochowa | 2024/25:rakow-czestochowa | 2025/26:gks-katowice,wiktor-nowak,90,31.0
GKS Katowice,Repka O.,gks-katowice,unresolved,,auto_same_club_history,oskar-repka,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice | rakow-czestochowa,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:rakow-czestochowa,,,999.0
GKS Katowice,Rogala G.,gks-katowice,unresolved,,auto_same_club_history,grzegorz-rogala,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
GKS Katowice,Shibata S.,gks-katowice,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
GKS Katowice,Strączek R.,gks-katowice,unresolved,,auto_same_club_history,rafa-straczek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history,1,117.0,same_club_history,gks-katowice,2025/26,2025/26:gks-katowice,,,999.0
GKS Katowice,Szczuka P.,gks-katowice,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
GKS Katowice,Szymczak F.,gks-katowice,unresolved,,auto_transfer_candidate,filip-szymczak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token,1,105.0,historical_other_club,lech-poznan,2023/24 | 2025/26,2023/24:lech-poznan | 2025/26:lech-poznan,,,999.0
GKS Katowice,Trepka L.,gks-katowice,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
GKS Katowice,Wasielewski M.,gks-katowice,unresolved,,auto_same_club_history,marcin-wasielewski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,gks-katowice,2024/25 | 2025/26,2024/25:gks-katowice | 2025/26:gks-katowice,,,999.0
