flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
Jagiellonia Białystok,jagiellonia-bialystok,Costa S. T.,joao-pedro-da-costa-gamboa,pogon-szczecin,2023/24,past_season_other_club,86,token_overlap_ascii:costa | token_overlap_slug:costa,João GamboaPogoń Szczecin
Jagiellonia Białystok,jagiellonia-bialystok,Costa S. T.,joao-pedro-da-costa-gamboa,pogon-szczecin,2024/25,past_season_other_club,86,token_overlap_ascii:costa | token_overlap_slug:costa,João GamboaPogoń Szczecin
Jagiellonia Białystok,jagiellonia-bialystok,Damasiewicz A.,grzegorz-tomasiewicz,piast-gliwice,2025/26,same_season_other_club,80,sim>=0.78:0.818 | same_season_bonus,Grzegorz TomasiewiczPiast Gliwice
Jagiellonia Białystok,jagiellonia-bialystok,Damasiewicz A.,maciej-ambrosiewicz,nieciecza,2025/26,same_season_other_club,80,sim>=0.78:0.783 | same_season_bonus,Maciej AmbrosiewiczNieciecza
Jagiellonia Białystok,jagiellonia-bialystok,Damasiewicz A.,grzegorz-tomasiewicz,piast-gliwice,2023/24,past_season_other_club,78,sim>=0.78:0.818,Grzegorz TomasiewiczPiast Gliwice
Jagiellonia Białystok,jagiellonia-bialystok,Damasiewicz A.,grzegorz-tomasiewicz,piast-gliwice,2024/25,past_season_other_club,78,sim>=0.78:0.818,Grzegorz TomasiewiczPiast Gliwice
Jagiellonia Białystok,jagiellonia-bialystok,Dieguez A.,adrian-dieguez-grande,jagiellonia-bialystok,2023/24,past_season_same_club,93,token_overlap_ascii:dieguez | token_overlap_slug:dieguez | initial_match | same_club_bonus,Adrián Diéguez GrandeJagiellonia Białystok
Jagiellonia Białystok,jagiellonia-bialystok,Dieguez A.,adrian-dieguez-grande,jagiellonia-bialystok,2024/25,past_season_same_club,93,token_overlap_ascii:dieguez | token_overlap_slug:dieguez | initial_match | same_club_bonus,Adrián Diéguez GrandeJagiellonia Białystok
Jagiellonia Białystok,jagiellonia-bialystok,Dieguez A.,adrian-dieguez-grande,radomiak-radom,2025/26,same_season_other_club,92,token_overlap_ascii:dieguez | token_overlap_slug:dieguez | initial_match | same_season_bonus,Adrián Diéguez GrandeRadomiak Radom
Jagiellonia Białystok,jagiellonia-bialystok,Konstantopoulos A.,apostolos-chrysovalantis-konstantopoulos,rakow-czestochowa,2025/26,same_season_other_club,98,last_token_exact | last_token_slugstyle | token_overlap_ascii:konstantopoulos | token_overlap_slug:konstantopoulos | initial_match | same_season_bonus,Apostolos-Chrysovalantis KonstantopoulosRaków Częstochowa
Jagiellonia Białystok,jagiellonia-bialystok,Krasiewicz B.,arkadiusz-kasperkiewicz,nieciecza,2025/26,same_season_other_club,80,sim>=0.78:0.783 | same_season_bonus,Arkadiusz KasperkiewiczNieciecza
Jagiellonia Białystok,jagiellonia-bialystok,Krasiewicz B.,lucjan-klisiewicz,puszcza-niepolomice,2024/25,past_season_other_club,78,sim>=0.78:0.800,Lucjan KlisiewiczPuszcza Niepołomice
Jagiellonia Białystok,jagiellonia-bialystok,Kuczynski M.,micha-kopczynski,warta-poznan,2023/24,past_season_other_club,82,sim>=0.78:0.842 | initial_match,Michał KopczyńskiWarta Poznań
Jagiellonia Białystok,jagiellonia-bialystok,Kuczynski M.,mateusz-kopczynski,piast-gliwice,2024/25,past_season_other_club,82,sim>=0.78:0.842 | initial_match,Mateusz KopczyńskiPiast Gliwice
Jagiellonia Białystok,jagiellonia-bialystok,Pankiewicz S.,bartosz-szczepankiewicz,lechia-gdansk,2025/26,same_season_other_club,80,sim>=0.78:0.800 | same_season_bonus,Bartosz SzczepankiewiczLechia Gdańsk
Jagiellonia Białystok,jagiellonia-bialystok,Pankiewicz S.,dorian-sinkiewicz,lechia-gdansk,2025/26,same_season_other_club,80,sim>=0.78:0.800 | same_season_bonus,Dorian SinkiewiczLechia Gdańsk
