kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away
26,Widzew Łódź,Górnik Zabrze,837,0,0,0,D,0,0,0,0,0,1.2261,1.1537,2.3798,0.3787,0.2778,0.3435,H,0,1.2809,0.4837,0.0926,0.3128,0.575,0.7829,0.9074,0.6872,0.425,0.2171,1.2261,1.1537
27,Arka Gdynia,Zagłębie Lubin,846,3,1,4,H,1,1,1,1,1,1.1002,1.3342,2.4344,0.3077,0.272,0.4203,A,0,1.1785,0.4915,0.0877,0.301,0.5608,0.7715,0.9123,0.699,0.4392,0.2285,1.8998,0.3342
27,Bruk-Bet Termalica Nieciecza,Piast Gliwice,846,3,2,5,H,1,1,1,1,1,1.1161,1.2815,2.3976,0.3221,0.2756,0.4023,A,0,1.1329,0.4858,0.0909,0.309,0.5703,0.7792,0.9091,0.691,0.4297,0.2208,1.8839,0.7185
27,Lechia Gdańsk,Korona Kielce,846,4,2,6,H,1,1,1,1,1,1.7121,1.3058,3.0179,0.4701,0.2368,0.293,H,1,0.7548,0.5975,0.0489,0.1965,0.4192,0.6432,0.9511,0.8035,0.5808,0.3568,2.2879,0.6942
27,Górnik Zabrze,Cracovia,846,3,0,3,H,0,1,1,1,0,1.4441,1.0533,2.4974,0.4606,0.2639,0.2755,H,1,0.7753,0.4976,0.0823,0.2878,0.5445,0.7581,0.9177,0.7122,0.4555,0.2419,1.5559,1.0533
27,Radomiak Radom,Motor Lublin,846,1,1,2,D,1,1,1,0,0,1.951,1.3652,3.3162,0.5116,0.2199,0.2684,H,0,1.5146,0.6388,0.0363,0.1566,0.3562,0.5768,0.9637,0.8434,0.6438,0.4232,0.951,0.3652
27,Pogoń Szczecin,Legia Warszawa,846,0,2,2,A,0,1,1,0,0,1.636,1.2209,2.8569,0.4707,0.2439,0.2854,H,0,1.254,0.5677,0.0574,0.2216,0.456,0.6793,0.9426,0.7784,0.544,0.3207,1.636,0.7791
27,GKS Katowice,Wisła Płock,846,1,0,1,H,0,1,0,0,0,1.1235,0.9305,2.054,0.3991,0.3017,0.2993,H,1,0.9186,0.4087,0.1282,0.3916,0.6621,0.8473,0.8718,0.6084,0.3379,0.1527,0.1235,0.9305
27,Raków Częstochowa,Widzew Łódź,846,1,1,2,D,1,1,1,0,0,1.6406,0.7682,2.4088,0.5821,0.2444,0.1735,H,0,1.409,0.4322,0.0899,0.3065,0.5674,0.7769,0.9101,0.6935,0.4326,0.2231,0.6406,0.2318
27,Jagiellonia Białystok,Lech Poznań,846,0,0,0,D,0,0,0,0,0,1.7917,1.4467,3.2384,0.4584,0.2292,0.3124,H,0,1.4732,0.6372,0.0392,0.1663,0.372,0.594,0.9608,0.8337,0.628,0.406,1.7917,1.4467
28,Wisła Płock,Lechia Gdańsk,855,1,0,1,H,0,1,0,0,0,1.5917,1.0266,2.6183,0.5049,0.2506,0.2445,H,1,0.6834,0.5111,0.0729,0.2639,0.5138,0.732,0.9271,0.7361,0.4862,0.268,0.5917,1.0266
28,Legia Warszawa,Górnik Zabrze,855,1,1,2,D,1,1,1,0,0,1.4425,1.022,2.4645,0.4676,0.265,0.2675,H,0,1.3282,0.4888,0.085,0.2947,0.5529,0.7651,0.915,0.7053,0.4471,0.2349,0.4425,0.022
28,Motor Lublin,Raków Częstochowa,855,1,1,2,D,1,1,1,0,0,1.1694,1.4096,2.579,0.3122,0.2629,0.4249,A,0,1.336,0.5211,0.0758,0.2715,0.5237,0.7406,0.9242,0.7285,0.4763,0.2594,0.1694,0.4096
28,Zagłębie Lubin,Radomiak Radom,855,1,0,1,H,0,1,0,0,0,1.6744,1.2529,2.9273,0.4728,0.2405,0.2867,H,1,0.749,0.5804,0.0535,0.2103,0.4397,0.6635,0.9465,0.7897,0.5603,0.3365,0.6744,1.2529
28,Korona Kielce,Jagiellonia Białystok,855,1,1,2,D,1,1,1,0,0,1.2681,1.3728,2.6409,0.3451,0.2611,0.3938,A,0,1.3429,0.5365,0.0713,0.2596,0.5082,0.7271,0.9287,0.7404,0.4918,0.2729,0.2681,0.3728
