kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,lambda_home,lambda_away,p_home_log,p_draw_log,p_away_log,log_loss_log,log_loss_base
15,Arka Gdynia,Lech Poznań,3,1,H,0.7478977024032584,1.6116064206918423,0.2542,0.4101,0.3357,1.3696,1.7596
15,Legia Warszawa,Bruk-Bet Termalica Nieciecza,1,2,A,2.1653915637555734,0.9681476342653106,0.6034,0.2122,0.1843,1.691,1.8477
15,Lechia Gdańsk,Widzew Łódź,2,1,H,1.5318137811486623,1.2560868882340377,0.438,0.3044,0.2576,0.8256,0.8276
15,Motor Lublin,Wisła Płock,1,1,D,1.2534694547215115,1.1460049150205192,0.4546,0.2997,0.2458,1.2051,1.2868
15,Zagłębie Lubin,Górnik Zabrze,2,0,H,1.2508588140279915,1.273396615307832,0.4067,0.3245,0.2688,0.8997,1.0205
15,Radomiak Radom,Cracovia,3,0,H,1.3216410698678538,1.2518505949747178,0.4209,0.3161,0.263,0.8653,0.9577
15,Pogoń Szczecin,Jagiellonia Białystok,1,2,A,1.8346442797476494,1.5269726119187255,0.365,0.3367,0.2983,1.2097,1.129
15,Korona Kielce,Raków Częstochowa,1,4,A,1.0724404176322264,1.0937087960840068,0.4581,0.3002,0.2417,1.4201,1.0262
15,GKS Katowice,Piast Gliwice,1,3,A,1.379421944136643,1.0800151631162216,0.4911,0.2791,0.2299,1.4702,1.2243
16,Bruk-Bet Termalica Nieciecza,Arka Gdynia,2,0,H,1.6880120150116082,0.8810663252198045,0.5613,0.2246,0.2141,0.5775,0.5718
16,Legia Warszawa,Lechia Gdańsk,2,2,D,2.0831961246511326,1.049854645304346,0.5205,0.2239,0.2556,1.4966,1.5818
16,Górnik Zabrze,Wisła Płock,1,1,D,1.3689359542480193,0.8981864457618249,0.5467,0.2452,0.2082,1.4057,1.2875
16,Pogoń Szczecin,Zagłębie Lubin,5,1,H,1.913291851012952,1.075897051909027,0.5082,0.2367,0.255,0.6769,0.564
16,Cracovia,Motor Lublin,1,2,A,1.6846889853454279,1.1251789533706857,0.487,0.2566,0.2564,1.3611,1.3694
16,Lech Poznań,Radomiak Radom,4,1,H,1.779167566382654,0.9849259796426895,0.5324,0.233,0.2345,0.6303,0.5792
16,Raków Częstochowa,Piast Gliwice,1,3,A,1.4025695632170276,0.7506403710809517,0.5916,0.2226,0.1858,1.683,1.6073
16,Jagiellonia Białystok,GKS Katowice,2,1,H,2.1504876204078465,1.2052105391090078,0.4743,0.2381,0.2875,0.7458,0.5286
16,Widzew Łódź,Korona Kielce,1,3,A,1.2957479481463237,1.1091372388514358,0.4805,0.2791,0.2404,1.4253,1.1474
17,Arka Gdynia,Raków Częstochowa,1,4,A,0.7554912761939204,1.4246234711730121,0.3488,0.3529,0.2983,1.2097,0.6353
17,Wisła Płock,Lech Poznań,0,0,D,1.0684933860681634,1.2412450565562425,0.415,0.3096,0.2754,1.1723,1.2672
17,Lechia Gdańsk,Bruk-Bet Termalica Nieciecza,5,1,H,1.755230481200183,1.2186289478596588,0.4755,0.2617,0.2628,0.7434,0.6937
17,Motor Lublin,Legia Warszawa,1,1,D,1.360636368544627,1.5758034300971024,0.3606,0.3287,0.3107,1.1126,1.4088
17,Zagłębie Lubin,Jagiellonia Białystok,0,0,D,1.3978215711908715,1.577974719662626,0.3629,0.3265,0.3107,1.1194,1.4145
17,Radomiak Radom,Górnik Zabrze,4,0,H,1.350517566009071,1.3033864400173754,0.4227,0.2981,0.2792,0.861,0.966
17,Korona Kielce,Cracovia,0,1,A,1.2734858138167586,1.1000391901000137,0.4653,0.2787,0.2561,1.3623,1.1419
17,GKS Katowice,Pogoń Szczecin,2,0,H,1.4506551949012125,1.6444965879904998,0.352,0.3302,0.3178,1.0442,1.081
17,Piast Gliwice,Widzew Łódź,0,2,A,1.2686459172067168,0.99589092929536,0.4901,0.2662,0.2437,1.4118,1.2345
