kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,rho,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora
29,Legia Warszawa,Zagłębie Lubin,864,1,0,1,H,0,1,0,0,0,1.6592,0.9654,2.6246,-0.0723,0.5281,0.261,0.2109,H,1,0.6384,0.5013,0.0809,0.2543,0.5123,0.7307,0.9191,0.7457,0.4877,0.2693,0.6592,0.9654,0,,,
29,Lechia Gdańsk,Piast Gliwice,864,1,1,2,D,1,1,1,0,0,1.6629,1.2762,2.9391,-0.0723,0.4568,0.2571,0.2861,H,0,1.3583,0.5842,0.061,0.2003,0.437,0.6609,0.939,0.7997,0.563,0.3391,0.6629,0.2762,0,,,
29,Górnik Zabrze,Korona Kielce,864,1,0,1,H,0,1,0,0,0,1.4035,0.8614,2.2649,-0.0723,0.4875,0.291,0.2215,H,1,0.7184,0.4355,0.1129,0.33,0.6054,0.8064,0.8871,0.67,0.3946,0.1936,0.4035,0.8614,0,,,
29,Radomiak Radom,Widzew Łódź,864,2,1,3,H,1,1,1,1,0,1.5926,1.1669,2.7595,-0.0723,0.4637,0.2654,0.2709,H,1,0.7684,0.5486,0.0718,0.2296,0.4792,0.701,0.9282,0.7704,0.5208,0.299,0.4074,0.1669,0,,,
29,Pogoń Szczecin,Lech Poznań,864,1,2,3,A,1,1,1,1,0,1.5837,1.4537,3.0374,-0.0723,0.4001,0.2567,0.3432,H,0,1.0693,0.609,0.0559,0.1857,0.4149,0.6389,0.9441,0.8143,0.5851,0.3611,0.5837,0.5463,0,,,
29,GKS Katowice,Motor Lublin,864,3,2,5,H,1,1,1,1,1,1.8567,1.159,3.0157,-0.0723,0.5292,0.242,0.2288,H,1,0.6364,0.579,0.0566,0.1892,0.4197,0.6437,0.9434,0.8108,0.5803,0.3563,1.1433,0.841,0,,,
29,Raków Częstochowa,Cracovia,864,4,1,5,H,1,1,1,1,1,1.6292,0.8992,2.5284,-0.0723,0.5372,0.264,0.1988,H,1,0.6215,0.4768,0.0882,0.2731,0.5366,0.7515,0.9118,0.7269,0.4634,0.2485,2.3708,0.1008,0,,,
30,Wisła Płock,Radomiak Radom,873,0,1,1,A,0,1,0,0,0,1.3925,0.9602,2.3527,-0.0686,0.4603,0.2891,0.2506,H,0,1.384,0.4638,0.1038,0.3102,0.5821,0.7886,0.8962,0.6898,0.4179,0.2114,1.3925,0.0398,1,Wisła Płock,29.0,0.2564
30,Lechia Gdańsk,Raków Częstochowa,873,1,2,3,A,1,1,1,1,0,1.4331,1.6279,3.061,-0.0686,0.3306,0.254,0.4154,A,1,0.8785,0.6119,0.0543,0.1827,0.4097,0.6336,0.9457,0.8173,0.5903,0.3664,0.4331,0.3721,0,,,
30,Zagłębie Lubin,Bruk-Bet Termalica Nieciecza,873,1,2,3,A,1,1,1,1,0,1.81,0.9782,2.7882,-0.0686,0.5616,0.2443,0.1941,H,0,1.6393,0.5219,0.069,0.2256,0.4723,0.6946,0.931,0.7744,0.5277,0.3054,0.81,1.0218,1,Bruk-Bet Termalica Nieciecza,29.0,0.2564
30,Korona Kielce,GKS Katowice,873,1,1,2,D,1,1,1,0,0,1.3306,1.1381,2.4687,-0.0686,0.402,0.2881,0.3099,H,0,1.2445,0.5,0.0935,0.285,0.5519,0.7642,0.9065,0.715,0.4481,0.2358,0.3306,0.1381,0,,,
30,Cracovia,Pogoń Szczecin,873,1,1,2,D,1,1,1,0,0,1.5627,1.352,2.9147,-0.0686,0.4162,0.2612,0.3225,H,0,1.3423,0.5859,0.0621,0.2044,0.4426,0.6663,0.9379,0.7956,0.5574,0.3337,0.5627,0.352,0,,,
30,Lech Poznań,Legia Warszawa,873,4,0,4,H,0,1,1,1,1,1.7837,1.1022,2.8859,-0.0686,0.5258,0.2478,0.2264,H,1,0.6429,0.5556,0.0633,0.2093,0.4492,0.6728,0.9367,0.7907,0.5508,0.3272,2.2163,1.1022,0,,,
30,Jagiellonia Białystok,Górnik Zabrze,873,1,2,3,A,1,1,1,1,0,1.6868,1.051,2.7378,-0.0686,0.5146,0.2572,0.2282,H,0,1.4777,0.53,0.0726,0.234,0.4844,0.7057,0.9274,0.766,0.5156,0.2943,0.6868,0.949,0,,,
30,Piast Gliwice,Arka Gdynia,873,4,1,5,H,1,1,1,1,1,1.57,0.755,2.325,-0.0686,0.56,0.2688,0.1711,H,1,0.5798,0.4197,0.1057,0.3172,0.5894,0.7943,0.8943,0.6828,0.4106,0.2057,2.43,0.245,1,Arka Gdynia,29.0,0.2564
30,Widzew Łódź,Motor Lublin,873,2,0,2,H,0,1,1,0,0,1.5675,1.1611,2.7286,-0.0686,0.4592,0.2668,0.274,H,1,0.7783,0.5436,0.0735,0.2354,0.4866,0.7078,0.9265,0.7646,0.5134,0.2922,0.4325,1.1611,0,,,
31,Arka Gdynia,Górnik Zabrze,882,0,0,0,D,0,0,0,0,0,0.9956,1.4342,2.4298,-0.0704,0.253,0.2842,0.4628,A,0,1.2582,0.4803,0.0969,0.2932,0.5619,0.7725,0.9031,0.7068,0.4381,0.2275,0.9956,1.4342,1,Arka Gdynia,30.0,0.25
31,Legia Warszawa,Widzew Łódź,882,1,0,1,H,0,1,0,0,0,1.5876,0.9275,2.5151,-0.0704,0.5198,0.2684,0.2119,H,1,0.6544,0.4809,0.0892,0.2758,0.54,0.7544,0.9108,0.7242,0.46,0.2456,0.5876,0.9275,0,,,
