match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka
2402,POG,RCZ,2,0,2025-08-31,45.0,55.0,8.0,18.0,3.0,3.0,2.0,7.0,3.0,8.0,1.0,14.0,16.0,10.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,12.0,37.0,4.0,6.0,11.0,3.0,338.0,398.0,256.0,327.0,7
2403,CRA,LEG,2,1,2025-08-31,56.0,44.0,2.0,13.0,2.0,5.0,0.0,4.0,0.0,4.0,2.0,5.0,13.0,17.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,18.0,2.0,6.0,10.0,10.0,473.0,360.0,387.0,274.0,7
2404,GKS,RAD,3,2,2025-08-29,47.4,52.6,18.0,9.0,8.0,4.0,3.0,4.0,7.0,1.0,8.0,4.0,16.0,21.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,29.0,19.0,8.0,5.0,8.0,5.0,257.0,299.0,196.0,225.0,7
2405,LPO,WID,2,1,2025-08-31,51.3,48.7,13.0,15.0,5.0,3.0,3.0,3.0,5.0,9.0,5.0,7.0,11.0,8.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,1.0,3.0,6.0,8.0,418.0,389.0,344.0,318.0,7
2406,JAG,LGD,2,0,2025-08-31,51.7,48.3,12.0,15.0,4.0,4.0,2.0,4.0,6.0,7.0,1.0,5.0,13.0,20.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,19.0,7.0,5.0,5.0,8.0,394.0,362.0,320.0,278.0,7
2407,WPŁ,CRA,0,0,2025-09-13,43.6,56.4,8.0,7.0,4.0,1.0,2.0,0.0,2.0,6.0,3.0,2.0,8.0,16.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,20.0,22.0,7.0,6.0,11.0,8.0,371.0,482.0,300.0,408.0,8
2408,LEG,RAD,4,1,2025-09-14,55.4,44.6,13.0,13.0,6.0,5.0,4.0,7.0,3.0,1.0,5.0,5.0,17.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,13.0,1.0,2.0,12.0,7.0,441.0,354.0,372.0,287.0,8
2409,LGD,GKS,2,0,2025-09-12,41.8,58.2,13.0,11.0,3.0,3.0,4.0,3.0,6.0,5.0,2.0,5.0,8.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,40.0,6.0,11.0,10.0,5.0,345.0,461.0,263.0,382.0,8
2410,MOT,BBT,1,1,2025-09-14,50.9,49.1,14.0,10.0,2.0,6.0,6.0,1.0,6.0,3.0,5.0,4.0,16.0,13.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,16.0,17.0,3.0,8.0,7.0,9.0,403.0,391.0,330.0,327.0,8
2411,KOR,POG,1,0,2025-09-13,44.5,55.5,18.0,21.0,6.0,10.0,5.0,5.0,7.0,6.0,12.0,7.0,9.0,11.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,23.0,6.0,6.0,5.0,9.0,285.0,376.0,220.0,295.0,8
2412,LPO,ZAG,1,2,2025-09-12,64.4,35.6,25.0,9.0,6.0,4.0,11.0,2.0,8.0,3.0,7.0,6.0,11.0,8.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,20.0,13.0,7.0,2.0,3.0,9.0,508.0,275.0,412.0,203.0,8
2413,RCZ,GÓR,0,1,2025-09-15,67.4,32.6,9.0,16.0,1.0,7.0,4.0,7.0,4.0,2.0,3.0,6.0,7.0,16.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,24.0,16.0,8.0,4.0,17.0,17.0,614.0,295.0,530.0,213.0,8
2414,PIA,JAG,1,1,2025-09-13,53.4,46.6,15.0,11.0,4.0,6.0,4.0,1.0,7.0,4.0,4.0,1.0,11.0,13.0,2.0,1.0,6.0,3.0,1.0,0.0,1.0,0.0,22.0,5.0,5.0,3.0,9.0,7.0,510.0,461.0,445.0,380.0,8
2415,WID,ARK,2,0,2025-09-14,49.3,50.7,14.0,13.0,8.0,5.0,1.0,0.0,5.0,8.0,1.0,2.0,4.0,16.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,14.0,3.0,5.0,12.0,14.0,379.0,389.0,314.0,322.0,8
2416,ARK,KOR,0,0,2025-09-20,48.8,51.2,11.0,9.0,3.0,0.0,3.0,5.0,5.0,4.0,4.0,6.0,12.0,15.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,17.0,4.0,2.0,6.0,8.0,335.0,345.0,268.0,277.0,9
2417,BBT,LPO,0,2,2025-09-20,54.1,45.9,13.0,18.0,2.0,9.0,2.0,5.0,9.0,4.0,3.0,10.0,7.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,19.0,1.0,3.0,13.0,10.0,491.0,410.0,415.0,344.0,9
2418,ZAG,MOT,2,2,2025-09-21,43.9,56.1,11.0,15.0,4.0,6.0,5.0,6.0,2.0,3.0,6.0,5.0,14.0,15.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,24.0,13.0,5.0,1.0,14.0,6.0,278.0,371.0,214.0,323.0,9
2419,GÓR,WID,3,2,2025-09-21,49.8,50.2,17.0,11.0,7.0,5.0,4.0,4.0,6.0,2.0,6.0,4.0,16.0,11.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,25.0,16.0,3.0,4.0,7.0,13.0,382.0,388.0,315.0,312.0,9
2420,RAD,PIA,1,0,2025-09-20,40.5,59.5,16.0,11.0,4.0,2.0,6.0,3.0,6.0,6.0,3.0,2.0,21.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,24.0,1.0,6.0,5.0,8.0,321.0,474.0,264.0,413.0,9
2421,POG,LGD,3,4,2025-09-21,59.2,40.8,22.0,12.0,10.0,9.0,5.0,0.0,7.0,3.0,4.0,4.0,9.0,11.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,10.0,7.0,1.0,6.0,3.0,408.0,288.0,353.0,223.0,9
2422,GKS,CRA,0,3,2025-09-19,57.1,42.9,16.0,13.0,5.0,6.0,7.0,4.0,4.0,3.0,11.0,3.0,6.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,7.0,4.0,2.0,7.0,7.0,470.0,368.0,379.0,268.0,9
2423,RCZ,LEG,1,1,2025-09-20,39.5,60.5,7.0,16.0,3.0,2.0,2.0,5.0,2.0,9.0,1.0,2.0,15.0,18.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,15.0,3.0,7.0,6.0,8.0,315.0,476.0,223.0,379.0,9
2424,WPŁ,JAG,0,1,2025-09-19,41.0,59.0,17.0,13.0,4.0,9.0,7.0,0.0,6.0,4.0,5.0,5.0,13.0,8.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,17.0,7.0,7.0,6.0,6.0,292.0,443.0,228.0,384.0,9
2425,WPŁ,GKS,1,1,2025-09-26,45.7,54.3,10.0,10.0,4.0,5.0,3.0,3.0,3.0,2.0,4.0,2.0,14.0,11.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,16.0,6.0,0.0,6.0,9.0,388.0,475.0,309.0,427.0,10
