flash_team,klub_slug_expected,flash_name
Puszcza Niepołomice,puszcza-niepolomice,Koj M.
Puszcza Niepołomice,puszcza-niepolomice,Komar K.
Puszcza Niepołomice,puszcza-niepolomice,Kramarz A.
Puszcza Niepołomice,puszcza-niepolomice,Lee Jin-Hyun
Puszcza Niepołomice,puszcza-niepolomice,Majchrzak J.
Puszcza Niepołomice,puszcza-niepolomice,Mesanovic M.
Puszcza Niepołomice,puszcza-niepolomice,Mroziński P.
Puszcza Niepołomice,puszcza-niepolomice,Piechota K.
Puszcza Niepołomice,puszcza-niepolomice,Pieprzyca I.
Puszcza Niepołomice,puszcza-niepolomice,Pięczek M.
Puszcza Niepołomice,puszcza-niepolomice,Poczobut B.
Puszcza Niepołomice,puszcza-niepolomice,Revenco I.
Puszcza Niepołomice,puszcza-niepolomice,Sendor A.
Puszcza Niepołomice,puszcza-niepolomice,Serafin J.
Puszcza Niepołomice,puszcza-niepolomice,Siemaszko A.
Puszcza Niepołomice,puszcza-niepolomice,Sołowiej L.
Puszcza Niepołomice,puszcza-niepolomice,Stec J.
Puszcza Niepołomice,puszcza-niepolomice,Stępień K.
Puszcza Niepołomice,puszcza-niepolomice,Thiago
Puszcza Niepołomice,puszcza-niepolomice,Thiakane E.
Puszcza Niepołomice,puszcza-niepolomice,Tomalski H.
Puszcza Niepołomice,puszcza-niepolomice,Walski M.
Puszcza Niepołomice,puszcza-niepolomice,Wojcinowicz T.
Puszcza Niepołomice,puszcza-niepolomice,Wroblewski K.
Puszcza Niepołomice,puszcza-niepolomice,Yakuba R.
Puszcza Niepołomice,puszcza-niepolomice,Zapolnik K.
Puszcza Niepołomice,puszcza-niepolomice,Zych O.
Radomiak Radom,radomiak-radom,Abramowicz D.
Radomiak Radom,radomiak-radom,Alves R.
Radomiak Radom,radomiak-radom,Bąkowski K.
Radomiak Radom,radomiak-radom,Castaneda F.
Radomiak Radom,radomiak-radom,Cayarga B.
Radomiak Radom,radomiak-radom,Cestor M.
Radomiak Radom,radomiak-radom,Cichocki M.
Radomiak Radom,radomiak-radom,Donis C.
Radomiak Radom,radomiak-radom,Grzesik J.
Radomiak Radom,radomiak-radom,Guilherme
Radomiak Radom,radomiak-radom,Helder Sa
Radomiak Radom,radomiak-radom,Jakubik D.
Radomiak Radom,radomiak-radom,Jardel
Radomiak Radom,radomiak-radom,Jordao B.
Radomiak Radom,radomiak-radom,Kaput M.
Radomiak Radom,radomiak-radom,Kobylak G.
Radomiak Radom,radomiak-radom,Koptas W.
Radomiak Radom,radomiak-radom,Leandro
Radomiak Radom,radomiak-radom,Luizao
Radomiak Radom,radomiak-radom,Machado L.
Radomiak Radom,radomiak-radom,Majchrowicz F.
Radomiak Radom,radomiak-radom,Matos T.
Radomiak Radom,radomiak-radom,Molendowski M.
Radomiak Radom,radomiak-radom,Okoniewski K.
Radomiak Radom,radomiak-radom,Pedro H.
Radomiak Radom,radomiak-radom,Peglow
Radomiak Radom,radomiak-radom,Pik D.
Radomiak Radom,radomiak-radom,Posiadala A.
Radomiak Radom,radomiak-radom,Rocha L.
Radomiak Radom,radomiak-radom,Rossi R.
Radomiak Radom,radomiak-radom,Semedo E.
Radomiak Radom,radomiak-radom,Semedo L.
Radomiak Radom,radomiak-radom,Snopczynski J.
Radomiak Radom,radomiak-radom,Vagner
Radomiak Radom,radomiak-radom,Vuskovic L.
Radomiak Radom,radomiak-radom,Wolski R.
Raków Częstochowa,rakow-czestochowa,Arsenić Z.
Raków Częstochowa,rakow-czestochowa,Barath P.
Raków Częstochowa,rakow-czestochowa,Berggren G.
Raków Częstochowa,rakow-czestochowa,Bieszczad K.
Raków Częstochowa,rakow-czestochowa,Cebula M.
Raków Częstochowa,rakow-czestochowa,Crnac A.
Raków Częstochowa,rakow-czestochowa,Czyż S.
Raków Częstochowa,rakow-czestochowa,Dominguez M.
Raków Częstochowa,rakow-czestochowa,Drachal D.
Raków Częstochowa,rakow-czestochowa,Kittel S.
Raków Częstochowa,rakow-czestochowa,Kochergin V.
Raków Częstochowa,rakow-czestochowa,Kovacevic A.
Raków Częstochowa,rakow-czestochowa,Kovačević V.
Raków Częstochowa,rakow-czestochowa,Kuciak D.
Raków Częstochowa,rakow-czestochowa,Lederman B.
Raków Częstochowa,rakow-czestochowa,López I.
Raków Częstochowa,rakow-czestochowa,Malamis P.
Raków Częstochowa,rakow-czestochowa,Masiak K.
Raków Częstochowa,rakow-czestochowa,Mras T.
Raków Częstochowa,rakow-czestochowa,Myszor J.
Raków Częstochowa,rakow-czestochowa,Nowak B.
Raków Częstochowa,rakow-czestochowa,Otieno E.
Raków Częstochowa,rakow-czestochowa,Papanikolaou G.
Raków Częstochowa,rakow-czestochowa,Pestka K.
Raków Częstochowa,rakow-czestochowa,Piasecki F.
Raków Częstochowa,rakow-czestochowa,Plavsic S.
Raków Częstochowa,rakow-czestochowa,Racovitan B.
Raków Częstochowa,rakow-czestochowa,Rodin M.
Raków Częstochowa,rakow-czestochowa,Rundić M.
Raków Częstochowa,rakow-czestochowa,Sahinovic M.
Raków Częstochowa,rakow-czestochowa,Silva J. C.
Raków Częstochowa,rakow-czestochowa,Sorescu D.
Raków Częstochowa,rakow-czestochowa,Svarnas S.
Raków Częstochowa,rakow-czestochowa,Tsiftsis A.
Raków Częstochowa,rakow-czestochowa,Tudor F.
Raków Częstochowa,rakow-czestochowa,Walczak T.
Raków Częstochowa,rakow-czestochowa,Wdowiak M.
Raków Częstochowa,rakow-czestochowa,Yeboah J.
Raków Częstochowa,rakow-czestochowa,Zwoliński Ł.
Ruch Chorzów,ruch-chorzow,Baranowski P.
Ruch Chorzów,ruch-chorzow,Baranski B.
Ruch Chorzów,ruch-chorzow,Barnowski D.
Ruch Chorzów,ruch-chorzow,Bartolewski M.
Ruch Chorzów,ruch-chorzow,Bielecki J.
Ruch Chorzów,ruch-chorzow,Buchalik M.
Ruch Chorzów,ruch-chorzow,Dadok R.
Ruch Chorzów,ruch-chorzow,Długosz W.
Ruch Chorzów,ruch-chorzow,Feliks M.
Ruch Chorzów,ruch-chorzow,Firlej M.
Ruch Chorzów,ruch-chorzow,Foszmanczyk T.
Ruch Chorzów,ruch-chorzow,Huras M.
Ruch Chorzów,ruch-chorzow,Josema
Ruch Chorzów,ruch-chorzow,Kamiński K.
Ruch Chorzów,ruch-chorzow,Kasolik K.
Ruch Chorzów,ruch-chorzow,Kozak M.
Ruch Chorzów,ruch-chorzow,Kwiatkowski K.
Ruch Chorzów,ruch-chorzow,Letniowski J.
Ruch Chorzów,ruch-chorzow,Michalski K.
Ruch Chorzów,ruch-chorzow,Moneta L.
Ruch Chorzów,ruch-chorzow,Novothny S.
Ruch Chorzów,ruch-chorzow,Plaskowski A.
Ruch Chorzów,ruch-chorzow,Podstawski T.
Ruch Chorzów,ruch-chorzow,Potoczny M.
Ruch Chorzów,ruch-chorzow,Sadlok M.
Ruch Chorzów,ruch-chorzow,Sedlak J.
Ruch Chorzów,ruch-chorzow,Sikora P.
Ruch Chorzów,ruch-chorzow,Skwierczyński K.
Ruch Chorzów,ruch-chorzow,Starzyński F.
Ruch Chorzów,ruch-chorzow,Steczyk D.
Ruch Chorzów,ruch-chorzow,Stepinski P.
Ruch Chorzów,ruch-chorzow,Stipica D.
Ruch Chorzów,ruch-chorzow,Swędrowski T.
Ruch Chorzów,ruch-chorzow,Szczepan D.
Ruch Chorzów,ruch-chorzow,Szur P.
Ruch Chorzów,ruch-chorzow,Szymański S.
Ruch Chorzów,ruch-chorzow,Szywacz R.
Ruch Chorzów,ruch-chorzow,Vlkanova A.
Ruch Chorzów,ruch-chorzow,Wilak F.
Ruch Chorzów,ruch-chorzow,Wójtowicz T.
Stal Mielec,stal-mielec,Cetnar A.
Stal Mielec,stal-mielec,Domański M.
Stal Mielec,stal-mielec,Dudek M.
Stal Mielec,stal-mielec,Ehmann M.
Stal Mielec,stal-mielec,Esselink B.
Stal Mielec,stal-mielec,Gerstenstein L.
Stal Mielec,stal-mielec,Getinger K.
Stal Mielec,stal-mielec,Gheorghe I.
Stal Mielec,stal-mielec,Guillaumier M.
Stal Mielec,stal-mielec,Hinokio K.
Stal Mielec,stal-mielec,Jaunzems A.
Stal Mielec,stal-mielec,Jałocha K.
Stal Mielec,stal-mielec,Kochalski M.
Stal Mielec,stal-mielec,Leandro
Stal Mielec,stal-mielec,Maj P.
Stal Mielec,stal-mielec,Matras M.
Stal Mielec,stal-mielec,Meriluoto K.
Stal Mielec,stal-mielec,Pajnowski K.
Stal Mielec,stal-mielec,Pingot M.
Stal Mielec,stal-mielec,Rafa Santos
Stal Mielec,stal-mielec,Rozwadowski J.
Stal Mielec,stal-mielec,Shkurin I.
Stal Mielec,stal-mielec,Strzałek I.
Stal Mielec,stal-mielec,Stępień M.
Stal Mielec,stal-mielec,Trabka M.
Stal Mielec,stal-mielec,Wlazło P.
Stal Mielec,stal-mielec,Wolsztyński Ł.
Stal Mielec,stal-mielec,Wołkowicz K.
Warta Poznań,warta-poznan,Bartkowski J.
Warta Poznań,warta-poznan,Borowski F.
Warta Poznań,warta-poznan,Eppel M.
Warta Poznań,warta-poznan,Grobelny J.
Warta Poznań,warta-poznan,Jakubowski F.
Warta Poznań,warta-poznan,Kamiński W.
Warta Poznań,warta-poznan,Kiełb J.
Warta Poznań,warta-poznan,Kopczyński M.
Warta Poznań,warta-poznan,Krzyżak O.
Warta Poznań,warta-poznan,Kupczak M.
Warta Poznań,warta-poznan,Kustosz M.
Warta Poznań,warta-poznan,Lis A.
Warta Poznań,warta-poznan,Luis M.
Warta Poznań,warta-poznan,Maenpaa N.
Warta Poznań,warta-poznan,Matuszewski K.
Warta Poznań,warta-poznan,Mezghrani M.
Warta Poznań,warta-poznan,Paszkowski J.
Warta Poznań,warta-poznan,Pleśnierowicz W.
Warta Poznań,warta-poznan,Prikryl T.
Warta Poznań,warta-poznan,Przybylko K.
Warta Poznań,warta-poznan,Rychlik P.
Warta Poznań,warta-poznan,Sangowski J.
