match_id,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,xg_gosp_flash,xg_gosc_flash
1706,3,2023-08-05,Radomiak Radom,Cracovia,0.0,1.0,28.0,10.0,4.0,4.0,8Kd8Qoq8,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=8Kd8Qoq8,25,11,4,4,,
1707,3,2023-08-30,Pogoń Szczecin,Śląsk Wrocław,0.0,2.0,15.0,6.0,2.0,3.0,rwkLNqTQ,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=rwkLNqTQ,15,6,2,3,,
1708,3,2023-08-06,Zagłębie Lubin,Lech Poznań,1.0,1.0,18.0,11.0,7.0,3.0,0IFH3Oye,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=0IFH3Oye,18,11,7,3,,
1709,3,2023-08-06,Legia Warszawa,Ruch Chorzów,3.0,0.0,24.0,8.0,6.0,1.0,rs5M2ri1,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=rs5M2ri1,24,8,6,1,,
1710,3,2023-08-07,Puszcza Niepołomice,Stal Mielec,1.0,0.0,5.0,9.0,2.0,2.0,fH8Q1267,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=fH8Q1267,5,9,2,2,,
1711,4,2023-08-11,Cracovia,Zagłębie Lubin,2.0,1.0,14.0,15.0,8.0,4.0,0IymJ3yr,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=0IymJ3yr,14,15,8,3,,
1712,4,2023-08-12,Korona Kielce,Górnik Zabrze,0.0,1.0,21.0,13.0,4.0,3.0,ELuiINjl,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=ELuiINjl,21,14,4,3,,
1713,4,2023-10-24,Lech Poznań,Jagiellonia Białystok,3.0,3.0,9.0,15.0,4.0,6.0,dpVeHs6f,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=dpVeHs6f,9,15,4,6,,
1714,4,2023-08-11,Piast Gliwice,Raków Częstochowa,2.0,1.0,18.0,8.0,5.0,2.0,zyUaG1L0,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=zyUaG1L0,18,8,5,2,,
1715,4,2023-08-13,Pogoń Szczecin,Radomiak Radom,0.0,2.0,14.0,13.0,3.0,3.0,UBr3FLz7,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=UBr3FLz7,18,16,3,3,,
1716,4,2023-08-13,Puszcza Niepołomice,Legia Warszawa,1.0,1.0,9.0,16.0,1.0,5.0,82s7EujD,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/puszcza-dtqx13O8/szczegoly/statystyki/?mid=82s7EujD,12,20,1,5,,
1717,4,2023-08-12,Stal Mielec,Śląsk Wrocław,3.0,1.0,11.0,15.0,7.0,4.0,A7LkwPSD,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=A7LkwPSD,11,15,7,4,,
1718,4,2023-08-14,Warta Poznań,Ruch Chorzów,2.0,2.0,10.0,10.0,4.0,2.0,OAPgxqrK,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=OAPgxqrK,10,9,4,2,,
1719,4,2023-08-12,Widzew Łódź,ŁKS Łódź,1.0,0.0,11.0,11.0,5.0,3.0,IXOcy3cQ,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=IXOcy3cQ,11,11,5,3,,
1720,5,2023-08-21,Cracovia,Piast Gliwice,1.0,1.0,18.0,14.0,4.0,6.0,KtBPWM5s,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=KtBPWM5s,19,14,4,6,,
